"","price","floors","waterfront","view","condition","sqft_basement","lat","long","sqft_lot15","city","room_avg_sqft","house_age","renovated"
"1",221900,1,"0",0,3,0,47.5112,-122.257,5650,"Seattle",236,60,"0"
"2",538000,2,"0",0,3,400,47.721,-122.319,7639,"Seattle",347.2,64,"1"
"3",180000,1,"0",0,3,0,47.7379,-122.233,8062,"Kenmore",192.5,82,"0"
"4",604000,1,"0",0,5,910,47.5208,-122.393,5000,"Seattle",131.25,50,"0"
"5",510000,1,"0",0,3,0,47.6168,-122.045,7503,"Sammamish",280,28,"0"
"6",257500,2,"0",0,3,0,47.3097,-122.327,6819,"Federal Way",274.4,20,"0"
"7",291850,1,"0",0,3,0,47.4095,-122.315,9711,"Seattle",192.727272727273,52,"0"
"8",229500,1,"0",0,3,730,47.5123,-122.337,8113,"Seattle",210,55,"0"
"9",323000,2,"0",0,3,0,47.3684,-122.031,7570,"Maple Valley",290.769230769231,12,"0"
"10",468000,1,"0",0,4,300,47.69,-122.292,6000,"Seattle",215,73,"0"
"11",310000,1.5,"0",0,4,0,47.7558,-122.229,12697,"Kenmore",286,88,"0"
"12",4e+05,1,"0",0,4,0,47.6127,-122.045,10208,"Sammamish",238.260869565217,38,"0"
"13",530000,1.5,"0",0,3,0,47.67,-122.394,4850,"Seattle",226.25,115,"0"
"14",650000,2,"0",3,3,970,47.5714,-122.375,4000,"Seattle",247.5,36,"0"
"15",395000,2,"0",0,3,0,47.7277,-121.962,14018,"Duvall",315,21,"0"
"16",485000,1.5,"0",0,4,0,47.6648,-122.343,4300,"Seattle",266.666666666667,99,"0"
"17",189000,1,"0",0,4,0,47.3089,-122.21,5095,"Auburn",300,94,"0"
"18",230000,1,"0",0,4,0,47.3343,-122.306,8850,"Federal Way",250,46,"0"
"19",385000,1,"0",0,4,760,47.7025,-122.341,4980,"Seattle",127.407407407407,68,"0"
"20",285000,2,"0",0,3,0,47.3266,-122.169,7005,"Auburn",267.058823529412,20,"0"
"21",252700,1,"0",0,3,0,47.3533,-122.166,8386,"Kent",237.777777777778,30,"0"
"22",329000,2,"0",0,4,0,47.3739,-122.172,6865,"Kent",392,30,"0"
"23",233000,1.5,"0",0,5,0,47.3048,-122.218,4705,"Auburn",285,74,"0"
"24",937000,2,"0",0,3,700,47.6386,-122.36,3573,"Seattle",304.347826086957,100,"0"
"25",667000,1.5,"0",0,5,0,47.6221,-122.314,3861,"Seattle",280,106,"0"
"26",438000,1,"0",0,3,730,47.695,-122.304,6235,"Seattle",137.391304347826,67,"0"
"27",719000,2,"0",0,3,0,47.7073,-122.11,6026,"Redmond",342.666666666667,10,"0"
"28",580500,2,"0",0,3,0,47.5391,-122.07,3980,"Issaquah",356.923076923077,12,"0"
"29",280000,3,"0",0,3,0,47.7274,-122.357,1756,"Seattle",264.444444444444,10,"0"
"30",687500,1.5,"0",0,4,820,47.6823,-122.368,5000,"Seattle",223.703703703704,86,"0"
"31",535000,1.5,"0",0,4,0,47.6889,-122.375,5080,"Seattle",218,86,"0"
"32",322500,1,"0",0,3,780,47.4276,-122.157,8720,"Renton",165.161290322581,34,"0"
"33",696000,1.5,"0",0,3,790,47.6827,-122.31,3264,"Seattle",232.307692307692,85,"1"
"34",550000,1,"0",0,1,730,47.6621,-122.132,11467,"Redmond",155,82,"0"
"35",640000,2,"0",0,4,0,47.6702,-122.362,4700,"Seattle",337.142857142857,111,"0"
"36",240000,1,"0",0,2,330,47.3341,-122.282,7800,"Auburn",148.333333333333,46,"0"
"37",605000,2,"0",0,3,0,47.5301,-122.18,11884,"Renton",349.333333333333,19,"0"
"38",625000,2,"0",0,3,0,47.6145,-122.027,5669,"Sammamish",342.666666666667,15,"0"
"39",685000,2,"0",0,3,0,47.6413,-122.364,2640,"Seattle",314,93,"0"
"40",309000,1,"0",0,4,360,47.4485,-122.175,8808,"Renton",184,56,"0"
"41",488000,2,"0",0,3,0,47.7443,-121.977,9232,"Duvall",486.153846153846,12,"0"
"42",210490,1,"0",0,3,0,47.3066,-122.371,8840,"Federal Way",198,49,"0"
"43",785000,2,"0",0,4,0,47.6194,-122.151,13685,"Bellevue",305.333333333333,34,"0"
"44",450000,1,"0",0,4,0,47.6796,-122.301,5100,"Seattle",217.391304347826,62,"0"
"45",228000,1,"0",0,3,0,47.4258,-122.322,9364,"Seattle",238,60,"0"
"46",6e+05,1,"0",0,4,410,47.6808,-122.384,4080,"Seattle",173.913043478261,65,"0"
"47",585000,1,"0",0,3,990,47.6989,-122.369,6738,"Seattle",208.421052631579,34,"0"
"48",920000,1.5,"0",0,3,600,47.6571,-122.281,6000,"Seattle",258.181818181818,88,"0"
"49",885000,2,"0",0,3,0,47.6597,-122.29,5000,"Seattle",377.333333333333,20,"0"
"50",292500,2,"0",0,3,0,47.3663,-122.114,4500,"Kent",300,7,"0"
"51",301000,2,"0",0,3,0,47.3663,-122.122,4750,"Kent",372.307692307692,12,"0"
"52",951000,2,"0",4,4,0,47.588,-122.116,11044,"Bellevue",351.351351351351,47,"0"
"53",430000,2,"0",0,3,0,47.5059,-122.149,8542,"Renton",231.25,24,"0"
"54",289000,1,"0",0,3,0,47.4366,-122.335,8750,"Seattle",219.130434782609,61,"0"
"55",505000,2,"0",0,5,0,47.4428,-122.344,9500,"Seattle",438.086956521739,42,"0"
"56",549000,3,"0",0,3,0,47.6765,-122.32,3090,"Seattle",267.826086956522,1,"0"
"57",425000,1,"0",0,3,550,47.6113,-122.297,4080,"Seattle",177.6,36,"0"
"58",317625,1.5,"0",0,5,1000,47.5747,-122.304,4000,"Seattle",262.222222222222,90,"0"
"59",975000,2,"0",0,3,0,47.5815,-122.192,11049,"Bellevue",362.666666666667,26,"0"
"60",287000,2,"0",0,3,0,47.3378,-122.257,4557,"Auburn",298.666666666667,10,"0"
"61",204000,1,"0",0,4,0,47.3621,-122.11,12635,"Kent",200,47,"0"
"62",325000,1,"0",0,4,0,47.7362,-122.179,4745,"Kirkland",210,43,"0"
"63",571000,1.5,"0",0,5,500,47.7168,-122.287,7807,"Seattle",321.428571428571,99,"0"
"64",360000,2,"0",0,3,0,47.3608,-122.036,5000,"Maple Valley",317.333333333333,10,"0"
"65",380000,1,"0",0,3,880,47.6034,-122.125,7500,"Bellevue",130.37037037037,59,"0"
"66",480000,1,"0",0,3,0,47.5636,-122.394,5060,"Seattle",208,74,"0"
"67",410000,1,"0",0,4,500,47.7073,-122.34,5693,"Seattle",182,59,"0"
"68",390000,2,"0",0,3,0,47.3512,-122.008,5363,"Maple Valley",361.538461538462,12,"0"
"69",360000,2,"0",0,3,0,47.349,-122.031,6405,"Maple Valley",253.333333333333,23,"0"
"70",355000,1,"0",0,3,1010,47.5474,-122.291,6720,"Seattle",252.5,67,"0"
"71",356000,1,"0",0,3,0,47.4811,-122.149,8797,"Renton",305.454545454545,51,"0"
"72",315000,1,"0",0,3,0,47.7264,-122.31,7203,"Seattle",192,63,"0"
"73",940000,2,"0",0,3,240,47.6337,-122.365,4800,"Seattle",345.454545454545,90,"0"
"74",305000,1.5,"0",0,5,0,47.2909,-122.189,8165,"Auburn",322.424242424242,54,"0"
"75",461000,2,"0",0,3,790,47.5228,-122.199,7349,"Renton",273.103448275862,9,"0"
"76",215000,2,"0",0,4,0,47.518,-122.194,2025,"Renton",306.666666666667,36,"0"
"77",335000,2,"0",0,3,265,47.5394,-122.387,1106,"Seattle",161.052631578947,9,"0"
"78",243500,2,"0",0,3,0,47.2897,-122.372,7510,"Federal Way",264,27,"0"
"79",153000,1,"0",0,3,0,47.322,-122.351,10500,"Federal Way",240,53,"0"
"80",430000,1,"0",0,3,290,47.687,-122.386,4500,"Seattle",234.545454545455,76,"0"
"81",7e+05,1,"0",0,3,290,47.687,-122.386,4500,"Seattle",234.545454545455,76,"0"
"82",905000,1,"0",0,3,910,47.5873,-122.249,6045,"Mercer Island",318.666666666667,69,"1"
"83",247500,1,"0",0,3,0,47.3576,-122.277,15616,"Kent",340.869565217391,48,"0"
"84",199000,1,"0",0,4,0,47.3036,-122.378,6400,"Federal Way",178.461538461538,40,"0"
"85",850830,1.5,"0",0,5,800,47.6415,-122.315,4500,"Seattle",195.384615384615,105,"0"
"86",555000,1.5,"0",0,4,540,47.6775,-122.372,3478,"Seattle",240,86,"0"
"87",1088000,2,"0",0,3,0,47.5814,-122.196,8113,"Bellevue",449.230769230769,65,"1"
"88",290000,1,"0",0,3,0,47.4375,-122.184,14910,"Renton",242,61,"0"
"89",375000,1,"0",0,4,880,47.4431,-122.133,8162,"Renton",224.615384615385,37,"0"
"90",460000,1.5,"0",0,4,500,47.6878,-122.38,4005,"Seattle",234,76,"0"
"91",188500,1,"0",0,4,0,47.3813,-122.322,4966,"Seattle",261.052631578947,30,"0"
"92",470000,2,"0",0,4,0,47.6417,-122.109,9433,"Redmond",261.935483870968,73,"0"
"93",597750,2,"0",0,3,0,47.5386,-122.053,9636,"Issaquah",308,31,"0"
"94",570000,1,"0",0,5,560,47.6823,-122.349,3536,"Seattle",121.739130434783,110,"0"
"95",272500,1,"0",0,4,380,47.3624,-122.031,11656,"Maple Valley",201.739130434783,35,"0"
"96",329950,1,"0",2,3,1000,47.5474,-122.295,5500,"Seattle",187.826086956522,44,"0"
"97",480000,2,"0",3,3,710,47.3183,-122.253,8517,"Auburn",336,14,"0"
"98",518500,3,"0",0,3,0,47.6824,-122.347,3166,"Seattle",212,5,"0"
"99",205425,1,"0",0,4,0,47.5009,-122.248,6780,"Seattle",220,70,"0"
"100",171800,1,"0",0,3,0,47.4965,-122.303,9000,"Seattle",224.285714285714,65,"0"
"101",535000,1.5,"0",0,4,0,47.587,-122.294,4040,"Seattle",268.333333333333,90,"0"
"102",660000,1,"0",2,3,840,47.7728,-122.386,10856,"Seattle",240,51,"0"
"103",391500,1,"0",0,3,0,47.7288,-122.226,9104,"Kirkland",241.666666666667,28,"0"
"104",395000,1,"0",0,3,0,47.6999,-122.364,6000,"Seattle",192.5,62,"0"
"105",445000,1.5,"0",0,5,380,47.5299,-122.266,4400,"Seattle",254.814814814815,91,"0"
"106",770000,2,"0",0,3,0,47.6897,-122.098,13992,"Redmond",465.6,25,"0"
"107",1450000,1.5,"0",0,3,770,47.6141,-122.212,11275,"Bellevue",255.483870967742,101,"1"
"108",445000,1,"0",2,3,480,47.5091,-122.244,8712,"Seattle",259.2,48,"0"
"109",260000,1,"0",0,3,800,47.3129,-122.39,8400,"Federal Way",187.586206896552,37,"0"
"110",822500,2,"0",0,5,600,47.6763,-122.352,4960,"Seattle",181.052631578947,89,"0"
"111",430000,2,"0",0,3,0,47.5319,-121.85,3748,"Snoqualmie",276,11,"0"
"112",212000,1,"0",0,4,0,47.2761,-122.152,7680,"Auburn",184.347826086957,29,"0"
"113",660500,1,"0",0,3,570,47.5343,-122.054,9793,"Issaquah",198.620689655172,29,"0"
"114",453246,2,"0",0,3,620,47.5517,-121.998,1662,"Issaquah",213.846153846154,1,"0"
"115",675000,3,"0",0,3,0,47.6734,-122.38,2285,"Seattle",251.764705882353,10,"0"
"116",220000,1,"0",0,3,1010,47.3309,-122.299,8140,"Federal Way",149.62962962963,47,"0"
"117",452000,1,"0",0,4,1250,47.7689,-122.266,10436,"Kenmore",184.827586206897,47,"0"
"118",382500,1,"0",0,3,0,47.7135,-122.287,5715,"Seattle",297.5,34,"0"
"119",519950,3,"0",0,3,0,47.6722,-122.381,1310,"Seattle",187.2,1,"0"
"120",665000,1,"0",0,3,0,47.6338,-122.358,3600,"Seattle",277.5,90,"0"
"121",527700,1,"0",0,4,1270,47.5707,-122.128,9375,"Bellevue",182.352941176471,47,"0"
"122",205000,1,"0",0,4,600,47.4563,-122.171,8579,"Renton",202,53,"0"
"123",420000,1,"0",0,4,120,47.7144,-122.351,7940,"Seattle",188,92,"0"
"124",5e+05,1,"0",0,4,650,47.5495,-122.174,8824,"Bellevue",190.344827586207,54,"0"
"125",890000,2,"0",0,3,180,47.6354,-122.353,4000,"Seattle",395,110,"0"
"126",511000,1,"0",0,3,450,47.6873,-122.336,4599,"Seattle",196,68,"0"
"127",532170,2,"0",0,3,0,47.6838,-122.353,3090,"Seattle",226.666666666667,25,"0"
"128",560000,1.5,"0",0,3,0,47.655,-122.359,5000,"Seattle",222,68,"0"
"129",282950,1,"0",0,4,0,47.3255,-122.304,8633,"Federal Way",250,61,"0"
"130",215000,1,"0",0,4,0,47.4479,-122.176,7669,"Renton",236,48,"0"
"131",320000,1,"0",0,3,1020,47.3135,-122.369,7875,"Federal Way",209.032258064516,48,"0"
"132",247000,1.5,"0",0,3,0,47.2086,-121.996,7198,"Enumclaw",211.666666666667,99,"1"
"133",320000,1,"0",0,4,0,47.4715,-122.118,11180,"Renton",260.740740740741,47,"0"
"134",255000,1,"0",0,3,1030,47.4877,-122.335,11680,"Seattle",124.848484848485,53,"0"
"135",438000,1,"0",0,3,0,47.7171,-122.193,9660,"Kirkland",309.565217391304,53,"0"
"136",441000,1,"0",0,3,750,47.7319,-122.224,8152,"Kirkland",171.851851851852,36,"0"
"137",370000,1,"0",0,3,400,47.7209,-122.168,7500,"Kirkland",205.217391304348,39,"0"
"138",269950,1,"0",0,5,640,47.408,-122.327,9750,"Seattle",147.368421052632,66,"0"
"139",807100,2,"0",0,3,0,47.565,-122.125,4500,"Bellevue",357.333333333333,16,"0"
"140",653000,1,"0",0,4,1070,47.7028,-122.231,8750,"Kirkland",247.692307692308,36,"0"
"141",371500,1,"0",0,5,0,47.7458,-122.331,7288,"Seattle",228.333333333333,51,"0"
"142",284000,1,"0",0,3,0,47.4776,-122.337,7920,"Seattle",271.304347826087,61,"0"
"143",272000,1,"0",0,4,490,47.3026,-122.374,7350,"Federal Way",290.434782608696,37,"0"
"144",313000,1.5,"0",0,3,0,47.7658,-122.339,7940,"Seattle",243.636363636364,60,"0"
"145",673000,2,"0",0,4,0,47.5619,-122.125,8335,"Bellevue",357.241379310345,35,"0"
"146",425000,2,"0",0,3,300,47.6106,-122.31,1795,"Seattle",126.153846153846,7,"0"
"147",399950,1,"0",0,3,650,47.5868,-122.308,2150,"Seattle",150.857142857143,29,"0"
"148",385000,1,"0",0,3,0,47.6101,-122.307,4800,"Seattle",244,114,"0"
"149",269950,1,"0",2,4,630,47.1976,-121.999,8941,"Enumclaw",240,40,"0"
"150",330000,1,"0",0,3,290,47.7224,-122.358,8280,"Seattle",265,66,"0"
"151",260000,2,"0",0,3,0,47.3505,-122.179,6183,"Kent",256.923076923077,27,"0"
"152",470000,1.5,"0",0,4,700,47.5384,-122.376,5375,"Seattle",210,90,"0"
"153",589000,2,"0",0,5,0,47.7044,-122.2,9600,"Kirkland",305,54,"0"
"154",163500,2,"0",0,3,0,47.3848,-122.039,3417,"Maple Valley",233.333333333333,19,"0"
"155",835000,2,"0",0,3,990,47.6993,-122.102,9984,"Redmond",276.129032258065,22,"0"
"156",269000,1,"0",0,4,390,47.3099,-122.379,8910,"Federal Way",162.962962962963,46,"0"
"157",560000,2,"0",0,3,0,47.62,-122.043,8744,"Sammamish",292.307692307692,28,"0"
"158",615000,1.5,"0",0,4,0,47.65,-122.34,4400,"Seattle",221.666666666667,114,"0"
"159",585188,1,"0",0,3,800,47.6647,-122.153,9340,"Redmond",228.8,40,"0"
